S	E	I	R
138	0	26	154
138	0	26	154
138	0	26	154
138	0	26	154
138	0	26	154
138	0	25	155
138	0	25	155
138	0	25	155
138	0	25	155
138	0	24	156
138	0	24	156
138	0	24	156
138	0	24	156
138	0	24	156
138	0	24	156
138	0	24	156
138	0	24	156
138	0	24	156
138	0	24	156
138	0	24	156
138	0	22	158
138	0	22	158
138	0	22	158
138	0	22	158
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
138	0	21	159
137	0	21	160
137	0	21	160
137	0	21	160
137	0	21	160
137	0	21	160
137	0	21	160
137	0	20	161
137	0	20	161
137	0	20	161
137	0	20	161
137	0	19	162
137	0	19	162
137	0	19	162
137	0	19	162
137	0	19	162
137	0	19	162
137	0	19	162
137	0	19	162
137	0	19	162
137	0	19	162
137	0	19	162
137	0	19	162
137	0	19	162
137	0	19	162
137	0	19	162
137	0	18	163
137	0	18	163
136	1	18	163
135	2	18	163
135	2	18	163
135	2	18	163
134	3	18	163
134	3	18	163
134	3	18	163
134	3	18	163
134	3	18	163
134	3	17	164
134	1	19	164
133	2	19	164
132	3	19	164
132	3	19	164
132	3	19	164
132	3	19	164
132	3	19	164
132	3	19	164
132	3	19	164
132	2	20	164
131	3	19	165
131	3	19	165
131	3	19	165
131	3	19	165
131	3	19	165
131	2	20	165
130	3	20	165
130	3	20	165
130	3	20	165
130	3	20	165
130	3	20	165
130	3	20	165
130	3	20	165
130	3	20	165
130	3	20	165
130	3	19	166
130	2	20	166
130	2	20	166
129	3	20	166
129	3	20	166
129	3	20	166
129	2	21	166
128	3	21	166
128	3	21	166
128	3	21	166
128	2	21	167
128	2	21	167
128	2	21	167
128	2	21	167
128	2	21	167
128	2	20	168
128	2	20	168
128	2	20	168
127	3	20	168
127	1	22	168
126	2	22	168
124	3	23	168
123	4	23	168
123	3	24	168
123	3	24	168
123	3	24	168
123	2	25	168
123	2	25	168
123	2	24	169
123	2	24	169
123	2	24	169
123	2	24	169
123	2	24	169
123	2	24	169
123	2	24	169
123	2	24	169
123	2	24	169
123	1	25	169
123	1	25	169
123	1	25	169
122	0	27	169
122	0	27	169
122	0	27	169
122	0	27	169
122	0	27	169
121	1	27	169
121	1	26	170
121	1	26	170
121	1	26	170
121	1	26	170
121	1	26	170
121	1	26	170
121	1	26	170
121	1	26	170
121	1	25	171
121	1	25	171
121	1	25	171
121	1	25	171
121	1	25	171
121	0	26	171
121	0	26	171
121	0	26	171
121	0	26	171
121	0	26	171
121	0	23	174
121	0	23	174
121	0	23	174
121	0	23	174
121	0	23	174
121	0	23	174
121	0	23	174
121	0	23	174
121	0	23	174
121	0	23	174
121	0	23	174
121	0	22	175
121	0	22	175
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
121	0	21	176
120	1	21	176
120	1	21	176
120	1	21	176
120	1	21	176
120	1	21	176
120	1	21	176
120	1	21	176
120	1	21	176
120	1	21	176
120	1	21	176
119	1	22	176
118	2	22	176
118	2	22	176
118	2	22	176
118	2	22	176
118	2	22	176
118	2	22	176
118	2	22	176
118	2	22	176
118	1	23	176
117	1	24	176
117	1	23	177
116	2	23	177
116	2	23	177
116	2	22	178
116	2	22	178
115	3	22	178
115	2	23	178
114	3	23	178
114	3	23	178
114	3	22	179
114	2	23	179
114	2	23	179
114	2	23	179
114	2	23	179
113	3	23	179
113	3	23	179
113	3	23	179
113	3	23	179
113	3	23	179
113	3	23	179
113	3	23	179
113	3	23	179
113	3	22	180
113	2	23	180
113	2	23	180
113	2	23	180
113	2	23	180
113	1	24	180
113	1	24	180
113	1	24	180
113	1	24	180
113	1	23	181
113	1	23	181
113	1	23	181
113	0	24	181
112	1	24	181
112	1	23	182
112	0	24	182
112	0	24	182
111	1	24	182
111	1	24	182
111	1	24	182
111	1	24	182
111	0	25	182
111	0	25	182
111	0	25	182
111	0	25	182
111	0	25	182
111	0	25	182
111	0	25	182
110	1	24	183
110	1	24	183
110	1	24	183
110	1	24	183
110	1	24	183
110	1	24	183
110	1	24	183
110	1	24	183
110	1	24	183
110	1	24	183
110	1	24	183
110	1	24	183
110	1	24	183
110	1	24	183
110	0	25	183
110	0	25	183
110	0	25	183
110	0	25	183
110	0	24	184
110	0	23	185
110	0	23	185
110	0	23	185
110	0	23	185
110	0	23	185
110	0	23	185
110	0	23	185
110	0	23	185
110	0	23	185
110	0	23	185
110	0	23	185
110	0	22	186
110	0	22	186
109	0	23	186
107	1	24	186
